id,date,via,num,lat,long
112,2017-06-01 09:36:00,VIA SAN QUINTINO 8,1,,
113,2017-06-01 09:36:00,VIA GIUSEPPE POMBA 24,0,45.06564651,7.68564959
114,2017-06-01 09:37:00,VIA VANCHIGLIA 24,1,45.06869324,7.69957881
115,2017-06-01 09:37:00,VIA VANCHIGLIA 22,2,45.06854769,7.69939243
116,2017-06-01 09:38:00,CORSO SAN MAURIZIO 6,1,,
117,2017-06-01 09:39:00,CORSO VALDOCCO 15,1,45.07801654,7.67519075
118,2017-06-01 09:39:00,VIA VANCHIGLIA 2,1,45.06603675,7.69653965
119,2017-06-01 09:39:00,VIA GIUSEPPE POMBA 21,1,45.06511032,7.68510365
120,2017-06-01 09:39:00,VIA GIUSEPPE POMBA 20,1,45.06507155,7.68524513
121,2017-06-01 09:39:00,CORSO MONCALIERI 213,1,45.04110227,7.68341680
122,2017-06-01 09:40:00,VIA GIUSEPPE POMBA 14,1,45.06425413,7.68466535
123,2017-06-01 09:40:00,VIA MELCHIORRE GIOIA 2,1,45.06427179,7.67608854
124,2017-06-01 09:41:00,VIA LUIGI TARINO 3,1,45.07080749,7.69508836
125,2017-06-01 09:41:00,CORSO SAN MAURIZIO 6,1,,
126,2017-06-01 09:42:00,CORSO BERNARDINO TELESIO 69,1,45.08057854,7.62726155
127,2017-06-01 09:42:00,VIA GIUSEPPE POMBA 14,1,45.06425413,7.68466535
128,2017-06-01 09:42:00,PIAZZA DELLA REPUBBLICA 9,1,45.07763551,7.68254637
129,2017-06-01 09:42:00,VIA ANDREA MASSENA 5,1,45.06313133,7.67452573
130,2017-06-01 09:42:00,VIA PIETRO BAGETTI 16,1,45.07668601,7.66220203
131,2017-06-01 09:43:00,VIA LUIGI DES AMBROIS 9,1,45.06665745,7.68970150
132,2017-06-01 09:43:00,CORSO FRANCIA 9,1,45.07627550,7.66587415
133,2017-06-01 09:44:00,CORSO VALDOCCO 15,1,45.07801654,7.67519075
134,2017-06-01 09:44:00,VIA GIAMBATTISTA GROPELLO 10,1,45.07521918,7.66450454
135,2017-06-01 09:45:00,CORSO SAN MAURIZIO 6,1,,
136,2017-06-01 09:45:00,PIAZZA DELLA REPUBBLICA 15,1,45.07792073,7.68320713
137,2017-06-01 09:45:00,VIA ANDREA MASSENA 5,1,45.06313133,7.67452573
138,2017-06-01 09:46:00,PIAZZA DELLA REPUBBLICA 15,1,45.07792073,7.68320713
139,2017-06-01 09:46:00,VIA TIRRENO 25,1,45.04960043,7.66214488
140,2017-06-01 09:47:00,CORSO VALDOCCO 15,1,45.07801654,7.67519075
141,2017-06-01 09:47:00,VIA ANDREA MASSENA 7,1,45.06296146,7.67428815
142,2017-06-01 09:47:00,VIA LUIGI DES AMBROIS 6,1,45.06627912,7.69045036
143,2017-06-01 09:47:00,CORSO FRANCIA 1,1,45.07632847,7.66721103
144,2017-06-01 09:48:00,PIAZZA DELLA REPUBBLICA 17,1,45.07796238,7.68387940
145,2017-06-01 09:48:00,VIA SANDRO BOTTICELLI 35,1,45.10276280,7.69937287
146,2017-06-01 09:48:00,VIA SANDRO BOTTICELLI 31,1,45.10286580,7.69895810
147,2017-06-01 09:48:00,VIA PIETRO GIANNONE 5,1,45.07017732,7.67535136
148,2017-06-01 09:49:00,CORSO SAN MAURIZIO 6,1,,
149,2017-06-01 09:50:00,VIA BELFIORE 28,1,45.05694824,7.67937785
150,2017-06-01 09:50:00,VIA CANDIA 6,1,45.08965239,7.69631988
151,2017-06-01 09:51:00,PIAZZA DELLA REPUBBLICA 24,1,45.07798508,7.68462789
152,2017-06-01 09:51:00,VIA GIOVANNI SOMIS 1,1,,
153,2017-06-01 09:52:00,VIA ASSIETTA 17,1,45.06284847,7.67354628
154,2017-06-01 09:53:00,CORSO SAN MAURIZIO 6,1,,
155,2017-06-01 09:53:00,VIA PIETRO PIFFETTI 16,1,45.07737560,7.66294167
156,2017-06-01 09:54:00,VIA SAN SECONDO 37,1,,
157,2017-06-01 09:54:00,VIA PIETRO GIANNONE 12,1,45.07044216,7.67496526
158,2017-06-01 09:55:00,PIAZZA DELLA REPUBBLICA 18,1,45.07762963,7.68452059
159,2017-06-01 09:59:00,VIA MARIA VITTORIA 31,1,45.06598782,7.69003325
160,2017-06-01 10:00:00,VIA VARALLO 24,1,45.07066064,7.71174607
161,2017-06-01 10:00:00,VIA FILADELFIA 119,1,45.04163170,7.64598789
162,2017-06-01 10:02:00,CORSO FILIPPO TURATI 59,1,45.04873988,7.66462825
163,2017-06-01 10:03:00,CORSO VITTORIO EMANUELE II 95,1,45.06620180,7.66870593
164,2017-06-01 10:04:00,CORSO FILIPPO TURATI 59,1,45.04873988,7.66462825
165,2017-06-01 10:05:00,VIA VAL DELLA TORRE 71,1,45.09456275,7.65551383
166,2017-06-01 10:05:00,VIA SAN PAOLO 5,1,,
167,2017-06-01 10:05:00,VIA FILADELFIA 117,1,45.04156458,7.64617856
168,2017-06-01 10:06:00,PIAZZA DELLA REPUBBLICA 12,1,45.07670181,7.68511848
169,2017-06-01 10:07:00,CORSO VITTORIO EMANUELE II 95,1,45.06620180,7.66870593
170,2017-06-01 10:07:00,CORSO FILIPPO TURATI 55,1,45.04899734,7.66491633
171,2017-06-01 10:07:00,VIA CASTELLAMONTE 2,1,45.07586141,7.66723881
172,2017-06-01 10:09:00,CORSO RE UMBERTO 10,1,45.06554688,7.67398385
173,2017-06-01 10:10:00,CORSO VITTORIO EMANUELE II 95,1,45.06620180,7.66870593
174,2017-06-01 10:10:00,VIA SAN SECONDO 2,1,,
175,2017-06-01 10:10:00,VIA EDOARDO RUBINO 79,1,45.03787098,7.61879926
176,2017-06-01 10:12:00,CORSO VITTORIO EMANUELE II 97,1,45.06632564,7.66836410
177,2017-06-01 10:12:00,CORSO RE UMBERTO 10,1,45.06554688,7.67398385
178,2017-06-01 10:12:00,CORSO INGHILTERRA 51,1,45.07585284,7.66748022
179,2017-06-01 10:13:00,CORSO ENRICO TAZZOLI 235,1,,
180,2017-06-01 10:14:00,CORSO ENRICO TAZZOLI 235,1,,
181,2017-06-01 10:14:00,CORSO FILIPPO TURATI 53,1,45.04937151,7.66533505
182,2017-06-01 10:14:00,VIA MARIA VITTORIA 31,1,45.06598782,7.69003325
183,2017-06-01 10:15:00,VIA PAOLO GAIDANO 111,1,45.04152922,7.62245957
184,2017-06-01 10:16:00,CORSO ENRICO TAZZOLI 235,1,,
185,2017-06-01 10:16:00,CORSO VITTORIO EMANUELE II 99,1,45.06638392,7.66819840
186,2017-06-01 10:16:00,CORSO SAN MAURIZIO 7,1,,
187,2017-06-01 10:16:00,VIA PIETRO PIFFETTI 31,1,45.07717304,7.66055425
188,2017-06-01 10:16:00,VIA LEGNANO 13,1,45.05991496,7.67245721
189,2017-06-01 10:17:00,CORSO ENRICO TAZZOLI 235,1,,
190,2017-06-01 10:18:00,CORSO ENRICO TAZZOLI 235,1,,
191,2017-06-01 10:18:00,CORSO REGINA MARGHERITA 128,1,45.07632686,7.68566655
192,2017-06-01 10:18:00,CORSO REGINA MARGHERITA 130,1,45.07650933,7.68511671
193,2017-06-01 10:19:00,VIA SAN QUINTINO 16,1,,
194,2017-06-01 10:19:00,CORSO LOMBARDIA 152,1,45.10024302,7.65257329
195,2017-06-01 10:19:00,VIA ARTISTI 30,1,45.06759014,7.69911394
196,2017-06-01 10:20:00,VIA LEGNANO 13,1,45.05991496,7.67245721
197,2017-06-01 10:20:00,CORSO GALILEO FERRARIS 80,1,45.05776064,7.66526031
198,2017-06-01 10:20:00,PIAZZA DELLA REPUBBLICA 10,1,45.07610839,7.68472853
199,2017-06-01 10:20:00,CORSO GIUSEPPE GABETTI 31,1,45.06477929,7.71144164
200,2017-06-01 10:20:00,CORSO GALILEO FERRARIS 282,1,45.04065817,7.65340415
201,2017-06-01 10:21:00,CORSO VITTORIO EMANUELE II 99,1,45.06638392,7.66819840
202,2017-06-01 10:21:00,CORSO FILIPPO TURATI 53,1,45.04937151,7.66533505
203,2017-06-01 10:22:00,CORSO FILIPPO TURATI 53,1,45.04937151,7.66533505
204,2017-06-01 10:23:00,VIA GIANFRANCESCO FIOCHETTO 3,1,45.07686138,7.68626604
205,2017-06-01 10:23:00,CORSO GALILEO FERRARIS 86,1,45.05718710,7.66470886
206,2017-06-01 10:25:00,VIA GIANFRANCESCO FIOCHETTO 3,1,45.07686138,7.68626604
207,2017-06-01 10:25:00,CORSO VITTORIO EMANUELE II 99,1,45.06638392,7.66819840
208,2017-06-01 10:25:00,CORSO FILIPPO TURATI 53,2,45.04937151,7.66533505
209,2017-06-01 10:25:00,CORSO SIRACUSA 66,1,45.04805922,7.63403654
210,2017-06-01 10:25:00,CORSO SIRACUSA 66,1,45.04805922,7.63403654
211,2017-06-01 10:25:00,VIA ANTONIO PACINOTTI 21,1,45.08075435,7.66454664
212,2017-06-01 10:25:00,CORSO GIACOMO MATTEOTTI 12,1,45.06639500,7.67472498
213,2017-06-01 10:25:00,CORSO LOMBARDIA 134,2,45.09893327,7.64965016
214,2017-06-01 10:26:00,CORSO GIACOMO MATTEOTTI 12,1,45.06639500,7.67472498
215,2017-06-01 10:26:00,CORSO GALILEO FERRARIS 88,1,45.05702916,7.66460011
216,2017-06-01 10:27:00,CORSO SIRACUSA 66,1,45.04805922,7.63403654
217,2017-06-01 10:28:00,CORSO FILIPPO TURATI 53,1,45.04937151,7.66533505
218,2017-06-01 10:28:00,CORSO SAN MAURIZIO 57,1,,
219,2017-06-01 10:28:00,CORSO GALILEO FERRARIS 273,1,45.03995564,7.65352786
220,2017-06-01 10:30:00,VIA GIOVANNI SERVAIS 135,1,45.08395650,7.62248905
221,2017-06-01 10:30:00,VIA ASCANIO SOBRERO 16,1,45.08066681,7.66543315
222,2017-06-01 10:30:00,CORSO SIRACUSA 98,1,45.04532119,7.63387810
223,2017-06-01 10:31:00,CORSO VITTORIO EMANUELE II 103,1,45.06673817,7.66721292
224,2017-06-01 10:31:00,CORSO GALILEO FERRARIS 153,1,45.05001043,7.66044557
225,2017-06-01 10:32:00,VIA SAN FRANCESCO DA PAOLA 20,1,,
226,2017-06-01 10:32:00,CORSO GALILEO FERRARIS 88,1,45.05702916,7.66460011
227,2017-06-01 10:32:00,VIA MICHELE BUNIVA 1,1,45.06861371,7.69666289
228,2017-06-01 10:33:00,CORSO BOLZANO 14,1,45.07024112,7.66556165
229,2017-06-01 10:34:00,VIA PIERDIONIGI PINELLI 33,1,45.08120612,7.66539918
230,2017-06-01 10:34:00,VIA CASELLE 4,1,45.07926429,7.67434190
231,2017-06-01 10:35:00,CORSO RE UMBERTO 61,1,45.05810928,7.66974304
232,2017-06-01 10:35:00,CORSO GALILEO FERRARIS 247,1,45.04139887,7.65452342
233,2017-06-01 10:36:00,CORSO SAN MAURIZIO 61,1,,
234,2017-06-01 10:36:00,VIA VINCENZO BELLINI 2,1,45.06633032,7.67318164
235,2017-06-01 10:36:00,VIA ARQUATA 2,1,45.04896065,7.66520102
236,2017-06-01 10:38:00,VIA VAGNONE 24,1,45.08128193,7.66474186
237,2017-06-01 10:38:00,CORSO GALILEO FERRARIS 159,1,45.04919585,7.65989052
238,2017-06-01 10:38:00,VIA BERNARDINO DROVETTI 19,1,45.07481007,7.66603554
239,2017-06-01 10:38:00,VIA MARIA ADELAIDE AGLIETTA 35,1,45.10166942,7.61947509
240,2017-06-01 10:39:00,VIA ONORATO VIGLIANI 23,1,,
241,2017-06-01 10:39:00,CORSO SAN MAURIZIO 57,1,,
242,2017-06-01 10:39:00,CORSO RE UMBERTO 61,1,45.05810928,7.66974304
243,2017-06-01 10:40:00,VIA MONFALCONE 153,1,45.05287192,7.63371509
244,2017-06-01 10:40:00,VIA MARIA ADELAIDE AGLIETTA 35,1,45.10166942,7.61947509
245,2017-06-01 10:41:00,CORSO DUCA DEGLI ABRUZZI 15,1,45.06432168,7.66445971
246,2017-06-01 10:42:00,CORSO BERNARDINO TELESIO 22,1,,
247,2017-06-01 10:42:00,VIA BERNARDINO DROVETTI 14,1,45.07480360,7.66586281
248,2017-06-01 10:42:00,VIA CLEMENTE DAMIANO PRIOCCA 8,1,45.07758409,7.68583601
249,2017-06-01 10:43:00,VIA CLEMENTE DAMIANO PRIOCCA 8,1,45.07758409,7.68583601
250,2017-06-01 10:43:00,CORSO SAN MAURIZIO 55,1,,
251,2017-06-01 10:43:00,CORSO BERNARDINO TELESIO 22,1,,
252,2017-06-01 10:43:00,CORSO RE UMBERTO 63,1,45.05782244,7.66953837
253,2017-06-01 10:43:00,VIA MARIA ADELAIDE AGLIETTA 35,1,45.10166942,7.61947509
254,2017-06-01 10:44:00,VIA SOLERO 2,1,45.04922785,7.66631680
255,2017-06-01 10:44:00,VIA CASELLE 4,1,45.07926429,7.67434190
256,2017-06-01 10:45:00,VIA CLEMENTE DAMIANO PRIOCCA 10,1,45.07784467,7.68603860
257,2017-06-01 10:45:00,CORSO RODOLFO MONTEVECCHIO 52,1,45.06400420,7.66445639
258,2017-06-01 10:45:00,VIA BERNARDINO DROVETTI 16,1,45.07446473,7.66562024
259,2017-06-01 10:46:00,PIAZZA DON PAOLO ALBERA 15,1,45.07802315,7.68548179
260,2017-06-01 10:47:00,CORSO RE UMBERTO 63,1,45.05782244,7.66953837
261,2017-06-01 10:47:00,PIAZZA DON PAOLO ALBERA 15,1,45.07802315,7.68548179
262,2017-06-01 10:48:00,CORSO SAN MAURIZIO 81,1,,
263,2017-06-01 10:48:00,VIA DELLA BASILICA 16,1,45.07400348,7.68445108
264,2017-06-01 10:48:00,CORSO SEBASTOPOLI 214,1,45.04677829,7.64123403
265,2017-06-01 10:49:00,VIA BERNARDINO DROVETTI 20,1,45.07400523,7.66530265
266,2017-06-01 10:49:00,VIA SOLERO 6,1,45.04889535,7.66599044
267,2017-06-01 10:50:00,VIA VINCENZO LANCIA 8,1,45.06100863,7.64367198
268,2017-06-01 10:50:00,VIA GORIZIA 73,1,45.04817219,7.64112656
269,2017-06-01 10:52:00,VIA GIUSEPPE MORIS 2,1,45.07908135,7.67377317
270,2017-06-01 10:52:00,CORSO RE UMBERTO 63,1,45.05782244,7.66953837
271,2017-06-01 10:52:00,CORSO RODOLFO MONTEVECCHIO 50,1,45.06384466,7.66489576
272,2017-06-01 10:52:00,VIA SEBASTIANO GRANDIS 14,1,45.07208877,7.66773293
273,2017-06-01 10:52:00,CORSO VERCELLI 15,2,45.08411299,7.68563487
274,2017-06-01 10:52:00,CORSO GROSSETO 415,2,45.10621760,7.64425446
275,2017-06-01 10:53:00,VIA VAGNONE 36,1,45.08226053,7.66555382
276,2017-06-01 10:53:00,VIA EUSEBIO BAVA 15,1,45.06700304,7.69899308
277,2017-06-01 10:54:00,VIA ABATE ANTONIO VASSALLI?EANDI 5,1,,
278,2017-06-01 10:55:00,VIA VAGNONE 36,1,45.08226053,7.66555382
279,2017-06-01 10:55:00,VIA CARLO NOE 2,1,,
280,2017-06-01 10:55:00,VIA GIUSEPPE MORIS 8,1,45.07932917,7.67365853
281,2017-06-01 10:55:00,VIA BELFIORE 21,1,45.05598416,7.67934751
282,2017-06-01 10:57:00,VIA GIOV. BATTISTA BRICHERASIO 18,1,45.06382800,7.66569615
283,2017-06-01 10:58:00,VIA VAGNONE 33,1,45.08228212,7.66539463
284,2017-06-01 10:58:00,CORSO SAN MAURIZIO 75,1,,
285,2017-06-01 11:00:00,VIA SPALATO 72,2,45.05761255,7.65108493
286,2017-06-01 11:00:00,CORSO GUGLIELMO MARCONI 36,1,45.05507358,7.68298736
287,2017-06-01 11:00:00,VIA MADAMA CRISTINA 12,1,45.05929432,7.68382448
288,2017-06-01 11:00:00,PIAZZA CAMILLO BOZZOLO 11,1,45.03703783,7.67185540
289,2017-06-01 11:01:00,VIA FRANCESCO GIUSEPPE GUICCIARDINI 20,1,45.07240399,7.66836863
290,2017-06-01 11:01:00,VIA GIOV. BATTISTA BRICHERASIO 18,1,45.06382800,7.66569615
291,2017-06-01 11:02:00,VIA GIUSEPPE GIACOSA 19,1,45.05543690,7.68023006
292,2017-06-01 11:02:00,VIA GIOV. BATTISTA BRICHERASIO 18,1,45.06382800,7.66569615
293,2017-06-01 11:03:00,CORSO PRINCIPE EUGENIO 8,1,45.07896570,7.67419056
294,2017-06-01 11:03:00,VIA NIZZA 294,1,45.02933481,7.66587411
295,2017-06-01 11:04:00,VIA NIZZA 294,1,45.02933481,7.66587411
296,2017-06-01 11:04:00,VIA FRANCESCO GIUSEPPE GUICCIARDINI 20,1,45.07240399,7.66836863
297,2017-06-01 11:04:00,CORSO DANTE 12,1,45.04895759,7.66729474
298,2017-06-01 11:04:00,PIAZZA CESARE AUGUSTO 7,1,45.07516475,7.68367575
299,2017-06-01 11:04:00,VIA GIOV. BATTISTA BRICHERASIO 18,1,45.06382800,7.66569615
300,2017-06-01 11:05:00,CORSO CARLO E NELLO ROSSELLI 2,1,45.05037406,7.66514200
301,2017-06-01 11:05:00,VIA NIZZA 294,1,45.02933481,7.66587411
302,2017-06-01 11:06:00,PIAZZA DELLA REPUBBLICA 12,1,45.07670181,7.68511848
303,2017-06-01 11:06:00,PIAZZA DELLA REPUBBLICA 12,1,45.07670181,7.68511848
304,2017-06-01 11:07:00,CORSO DANTE 12,1,45.04895759,7.66729474
305,2017-06-01 11:07:00,CORSO VITTORIO EMANUELE II 3,1,45.05966171,7.68689788
306,2017-06-01 11:08:00,CORSO CARLO E NELLO ROSSELLI 2,1,45.05037406,7.66514200
307,2017-06-01 11:08:00,VIA SEBASTIANO GRANDIS 14,1,45.07208877,7.66773293
308,2017-06-01 11:09:00,CORSO CARLO E NELLO ROSSELLI 2,1,45.05037406,7.66514200
309,2017-06-01 11:10:00,CORSO ENRICO TAZZOLI 235,1,,
310,2017-06-01 11:10:00,VIA MICHELE LESSONA 59,1,45.08323266,7.64383476
311,2017-06-01 11:10:00,CORSO RODOLFO MONTEVECCHIO 49,1,45.06344341,7.66516782
312,2017-06-01 11:10:00,PIAZZA CESARE AUGUSTO 15,1,45.07548005,7.68448930
313,2017-06-01 11:11:00,CORSO VITTORIO EMANUELE II 5,1,45.05977830,7.68657371
314,2017-06-01 11:11:00,VIA SEBASTIANO GRANDIS 14,1,45.07208877,7.66773293
