id,long,lat,num_multe,num_park,day,hour
480,7,8,4.0,0.0,1,2
481,9,16,4.0,0.0,1,2
482,6,6,4.0,0.0,1,1
483,6,5,4.0,0.0,2,2
484,6,3,4.0,0.0,1,2
485,2,11,4.0,0.0,2,3
486,2,7,4.0,0.0,2,2
487,6,2,4.0,0.0,2,1
488,15,12,4.0,0.0,2,2
489,8,16,4.0,0.0,1,1
490,4,14,4.0,0.0,1,2
491,10,5,4.0,0.0,1,1
492,2,13,4.0,0.0,1,3
493,6,3,4.0,0.0,2,3
494,5,10,4.0,0.0,1,1
495,10,5,4.0,0.0,2,3
496,8,10,4.0,0.0,2,3
497,3,13,4.0,0.0,1,1
498,3,12,4.0,0.0,1,1
499,3,11,4.0,0.0,1,1
500,5,6,4.0,0.0,2,3
501,9,14,4.0,0.0,2,1
502,9,15,4.0,0.0,2,3
503,10,18,4.0,0.0,1,3
504,11,12,4.0,0.0,1,3
505,11,15,4.0,0.0,1,3
506,7,16,4.0,0.0,2,3
507,3,3,4.0,0.0,1,1
508,2,12,4.0,0.0,1,1
509,2,11,4.0,0.0,1,1
510,10,14,4.0,0.0,2,3
511,1,2,4.0,0.0,2,1
512,10,17,4.0,0.0,2,3
513,2,7,4.0,0.0,1,1
514,1,14,4.0,0.0,1,1
515,12,9,4.0,0.0,2,3
516,3,13,4.0,0.0,1,2
517,9,18,4.0,0.0,2,1
518,11,14,4.0,0.0,1,1
519,6,14,4.0,0.0,1,3
520,13,13,4.0,0.0,2,1
521,12,19,4.0,0.0,2,1
522,4,6,4.0,0.0,1,2
523,10,7,4.0,0.0,2,2
524,6,16,4.0,0.0,2,3
525,14,18,4.0,0.0,2,1
526,15,12,4.0,0.0,2,1
527,4,14,4.0,0.0,1,1
528,5,10,4.0,0.0,2,3
529,11,17,3.0,0.0,2,3
530,4,4,3.0,0.0,1,3
531,5,15,3.0,0.0,2,2
532,5,17,3.0,0.0,2,1
533,5,14,3.0,0.0,1,2
534,8,14,3.0,0.0,1,1
535,12,11,3.0,0.0,1,3
536,5,16,3.0,0.0,2,1
537,3,14,3.0,0.0,1,3
538,0,3,3.0,0.0,2,1
539,7,4,3.0,0.0,1,2
540,6,17,3.0,0.0,2,1
541,4,11,3.0,0.0,1,2
542,1,3,3.0,0.0,2,1
543,14,12,3.0,0.0,2,3
544,2,2,3.0,0.0,2,2
545,12,12,3.0,0.0,2,3
546,6,16,3.0,0.0,2,2
547,8,14,3.0,0.0,1,2
548,5,3,3.0,0.0,1,2
549,4,7,3.0,0.0,1,1
550,9,17,3.0,0.0,2,3
551,7,14,3.0,0.0,2,3
552,14,18,3.0,0.0,2,2
553,14,12,3.0,0.0,1,2
554,1,10,3.0,0.0,2,3
555,3,8,3.0,0.0,1,2
556,1,12,3.0,0.0,2,3
557,11,4,3.0,0.0,2,1
558,8,17,3.0,0.0,2,3
559,2,13,3.0,0.0,1,2
560,8,15,3.0,0.0,1,3
561,9,8,3.0,6500.0,2,3
562,6,3,3.0,0.0,1,3
563,6,13,3.0,0.0,2,3
564,3,6,3.0,0.0,1,1
565,4,17,3.0,0.0,2,2
566,9,14,3.0,0.0,2,3
567,4,13,3.0,0.0,1,2
568,6,11,3.0,0.0,1,1
569,10,15,3.0,0.0,1,3
570,12,17,3.0,0.0,2,1
571,12,9,3.0,0.0,2,2
572,6,10,3.0,0.0,2,3
573,8,7,3.0,0.0,1,1
574,15,12,2.0,0.0,1,1
575,12,16,2.0,0.0,1,1
576,4,10,2.0,0.0,2,3
577,10,9,2.0,0.0,1,1
578,6,9,2.0,0.0,1,1
579,13,11,2.0,0.0,2,3
580,12,11,2.0,0.0,2,3
581,11,14,2.0,0.0,2,3
582,11,13,2.0,0.0,2,3
583,3,14,2.0,0.0,1,1
584,8,6,2.0,0.0,2,3
585,7,19,2.0,0.0,2,3
586,7,17,2.0,0.0,2,3
587,7,7,2.0,0.0,2,3
588,6,6,2.0,0.0,2,3
589,5,3,2.0,0.0,1,1
590,5,12,2.0,0.0,2,3
591,1,14,2.0,0.0,1,2
592,4,8,2.0,0.0,2,3
593,3,9,2.0,0.0,2,3
594,5,13,2.0,0.0,1,1
595,2,10,2.0,0.0,2,3
596,1,14,2.0,0.0,2,3
597,0,12,2.0,0.0,2,3
598,14,17,2.0,0.0,2,2
599,13,18,2.0,0.0,2,2
600,1,11,2.0,0.0,1,2
601,14,17,2.0,0.0,2,3
602,15,17,2.0,0.0,2,1
603,10,19,2.0,0.0,2,1
604,9,14,2.0,0.0,1,2
605,5,5,2.0,0.0,2,2
606,10,16,2.0,0.0,1,3
607,10,14,2.0,0.0,1,3
608,10,13,2.0,0.0,1,3
609,4,11,2.0,0.0,2,2
610,9,16,2.0,0.0,1,3
611,9,8,2.0,2451.0,1,3
612,4,4,2.0,0.0,2,2
613,8,11,2.0,0.0,1,3
614,8,6,2.0,0.0,1,3
615,3,6,2.0,0.0,2,2
616,16,13,2.0,0.0,1,2
617,0,12,2.0,0.0,1,3
618,1,10,2.0,0.0,2,2
619,15,16,2.0,0.0,1,3
620,7,13,2.0,0.0,1,3
621,7,5,2.0,0.0,1,3
622,7,3,2.0,0.0,1,3
623,1,2,2.0,0.0,2,2
624,6,19,2.0,0.0,1,3
625,6,15,2.0,0.0,1,3
626,11,19,2.0,0.0,2,1
627,15,18,2.0,0.0,2,1
628,6,8,2.0,0.0,1,3
629,6,6,2.0,0.0,1,3
630,8,19,2.0,0.0,2,2
631,5,12,2.0,0.0,1,3
632,5,10,2.0,0.0,1,3
633,4,12,2.0,0.0,1,3
634,9,6,2.0,0.0,1,2
635,4,14,2.0,0.0,1,3
636,7,17,2.0,0.0,1,2
637,8,18,2.0,0.0,2,2
638,6,18,2.0,0.0,1,2
639,5,12,2.0,0.0,1,2
640,7,18,2.0,0.0,1,2
641,4,18,2.0,0.0,2,1
642,5,10,2.0,0.0,1,2
643,2,6,2.0,0.0,2,1
644,5,16,2.0,0.0,1,2
645,3,2,2.0,0.0,2,1
646,6,11,2.0,0.0,1,2
647,2,3,2.0,0.0,1,2
648,4,16,2.0,0.0,2,1
649,2,14,1.0,0.0,1,1
650,2,18,1.0,0.0,2,1
651,1,17,1.0,0.0,1,1
652,2,17,1.0,0.0,2,1
653,4,9,1.0,0.0,1,1
654,7,14,1.0,0.0,1,3
655,6,17,1.0,0.0,1,3
656,7,5,1.0,0.0,2,3
657,3,17,1.0,0.0,2,1
658,4,3,1.0,0.0,2,1
659,7,15,1.0,0.0,1,3
660,12,14,1.0,0.0,2,3
661,4,9,1.0,0.0,2,1
662,6,19,1.0,0.0,2,3
663,6,17,1.0,0.0,2,3
664,5,15,1.0,0.0,1,3
665,13,12,1.0,0.0,2,3
666,4,11,1.0,0.0,1,1
667,6,9,1.0,0.0,2,3
668,5,6,1.0,0.0,1,3
669,8,7,1.0,0.0,2,3
670,2,10,1.0,0.0,2,1
671,4,6,1.0,0.0,1,1
672,11,5,1.0,0.0,2,1
673,16,18,1.0,0.0,1,3
674,8,19,1.0,0.0,2,1
675,11,14,1.0,0.0,1,3
676,11,13,1.0,0.0,1,3
677,9,16,1.0,0.0,2,3
678,10,13,1.0,0.0,2,3
679,0,4,1.0,0.0,2,1
680,1,5,1.0,0.0,2,1
681,8,4,1.0,0.0,2,1
682,10,9,1.0,0.0,1,3
683,3,10,1.0,0.0,1,1
684,4,13,1.0,0.0,1,3
685,1,13,1.0,0.0,2,1
686,2,3,1.0,0.0,2,1
687,8,13,1.0,0.0,1,3
688,8,12,1.0,0.0,1,3
689,4,3,1.0,0.0,1,1
690,9,4,1.0,0.0,2,3
691,2,2,1.0,0.0,1,1
692,8,9,1.0,0.0,1,3
693,4,5,1.0,0.0,1,1
694,8,14,1.0,0.0,2,3
695,8,13,1.0,0.0,2,3
696,12,16,1.0,0.0,1,3
697,2,16,1.0,0.0,2,1
698,10,8,1.0,0.0,1,3
699,9,4,1.0,0.0,2,2
700,6,5,1.0,0.0,2,3
701,11,4,1.0,0.0,2,2
702,9,7,1.0,0.0,1,1
703,9,6,1.0,0.0,1,1
704,6,2,1.0,0.0,2,2
705,5,18,1.0,0.0,2,2
706,8,17,1.0,0.0,1,2
707,9,5,1.0,0.0,1,2
708,9,7,1.0,0.0,1,2
709,11,19,1.0,0.0,2,2
710,7,18,1.0,0.0,1,1
711,7,17,1.0,0.0,1,1
712,12,14,1.0,0.0,2,2
713,5,4,1.0,0.0,2,2
714,5,3,1.0,0.0,2,2
715,12,17,1.0,0.0,2,2
716,4,16,1.0,0.0,2,2
717,9,8,1.0,3726.0,1,1
718,7,15,1.0,0.0,1,2
719,4,11,1.0,0.0,1,3
720,7,7,1.0,0.0,1,2
721,2,2,1.0,0.0,1,2
722,14,16,1.0,0.0,1,1
723,2,6,1.0,0.0,1,2
724,2,14,1.0,0.0,1,2
725,12,19,1.0,0.0,1,1
726,3,14,1.0,0.0,1,2
727,4,8,1.0,0.0,1,2
728,4,10,1.0,0.0,1,2
729,8,4,1.0,0.0,2,2
730,5,9,1.0,0.0,1,2
731,9,18,1.0,0.0,2,2
732,5,13,1.0,0.0,1,2
733,11,13,1.0,0.0,1,1
734,7,7,1.0,0.0,2,2
735,6,16,1.0,0.0,1,2
736,6,5,1.0,0.0,1,1
737,11,18,1.0,0.0,1,2
738,11,19,1.0,0.0,1,2
739,5,16,1.0,0.0,1,1
740,4,4,1.0,0.0,2,3
741,4,6,1.0,0.0,1,3
742,0,3,1.0,0.0,2,2
743,4,9,1.0,0.0,2,3
744,17,17,1.0,0.0,2,1
745,16,15,1.0,0.0,2,1
746,4,13,1.0,0.0,2,3
747,5,6,1.0,0.0,1,1
748,5,5,1.0,0.0,1,1
749,15,14,1.0,0.0,2,1
750,5,9,1.0,0.0,2,3
751,4,8,1.0,0.0,1,3
752,5,4,1.0,0.0,1,1
753,14,17,1.0,0.0,2,1
754,14,13,1.0,0.0,2,1
755,1,4,1.0,0.0,2,2
756,3,11,1.0,0.0,2,3
757,3,10,1.0,0.0,2,3
758,15,18,1.0,0.0,2,2
759,13,15,1.0,0.0,1,2
760,14,16,1.0,0.0,2,2
761,14,11,1.0,0.0,1,2
762,14,13,1.0,0.0,1,2
763,3,10,1.0,0.0,2,2
764,3,9,1.0,0.0,2,2
765,15,19,1.0,0.0,1,2
766,1,11,1.0,0.0,2,2
767,1,13,1.0,0.0,2,3
768,2,6,1.0,0.0,2,3
769,3,8,1.0,0.0,1,3
770,2,4,1.0,0.0,2,2
771,2,12,1.0,0.0,2,3
772,3,13,1.0,0.0,1,3
