Long,Lat,N. of parkings,Day of the month,Day of the week,Hour
7.641500000000001,45.088499999999996,38,2,4,12
7.727,45.0255,5,2,4,12
7.727,45.088499999999996,13,2,4,12
7.641500000000001,45.0255,39,2,4,13
7.641500000000001,45.088499999999996,45,2,4,13
7.727,45.0255,6,2,4,13
7.727,45.088499999999996,39,2,4,13
7.641500000000001,45.0255,49,2,4,14
7.641500000000001,45.088499999999996,49,2,4,14
7.727,45.0255,8,2,4,14
7.727,45.088499999999996,41,2,4,14
7.641500000000001,45.0255,54,2,4,15
7.641500000000001,45.088499999999996,78,2,4,15
7.727,45.0255,6,2,4,15
7.727,45.088499999999996,36,2,4,15
7.641500000000001,45.0255,42,2,4,16
7.641500000000001,45.088499999999996,69,2,4,16
7.727,45.0255,10,2,4,16
7.727,45.088499999999996,36,2,4,16
7.641500000000001,45.0255,50,2,4,17
7.641500000000001,45.088499999999996,71,2,4,17
7.727,45.0255,9,2,4,17
7.727,45.088499999999996,53,2,4,17
7.641500000000001,45.0255,33,2,4,18
7.641500000000001,45.088499999999996,47,2,4,18
7.727,45.0255,4,2,4,18
7.727,45.088499999999996,28,2,4,18
7.641500000000001,45.0255,27,2,4,19
7.641500000000001,45.088499999999996,34,2,4,19
7.727,45.0255,6,2,4,19
7.727,45.088499999999996,22,2,4,19
7.641500000000001,45.0255,29,2,4,20
7.641500000000001,45.088499999999996,44,2,4,20
7.727,45.0255,3,2,4,20
7.727,45.088499999999996,24,2,4,20
7.641500000000001,45.0255,25,2,4,21
7.641500000000001,45.088499999999996,38,2,4,21
7.727,45.0255,5,2,4,21
7.727,45.088499999999996,31,2,4,21
7.641500000000001,45.0255,15,2,4,22
7.641500000000001,45.088499999999996,34,2,4,22
7.727,45.0255,4,2,4,22
7.727,45.088499999999996,16,2,4,22
7.641500000000001,45.0255,13,2,4,23
7.641500000000001,45.088499999999996,26,2,4,23
7.727,45.0255,1,2,4,23
7.727,45.088499999999996,11,2,4,23
7.641500000000001,45.0255,6,3,5,0
7.641500000000001,45.088499999999996,11,3,5,0
7.727,45.0255,1,3,5,0
7.727,45.088499999999996,7,3,5,0
7.641500000000001,45.0255,8,3,5,1
7.641500000000001,45.088499999999996,2,3,5,1
7.727,45.0255,1,3,5,1
7.727,45.088499999999996,7,3,5,1
7.641500000000001,45.0255,4,3,5,2
7.641500000000001,45.088499999999996,3,3,5,2
7.727,45.088499999999996,5,3,5,2
7.641500000000001,45.0255,2,3,5,3
7.641500000000001,45.088499999999996,5,3,5,3
7.727,45.088499999999996,3,3,5,3
7.641500000000001,45.0255,1,3,5,4
7.641500000000001,45.088499999999996,10,3,5,4
7.727,45.088499999999996,6,3,5,4
7.641500000000001,45.0255,18,3,5,5
7.641500000000001,45.088499999999996,14,3,5,5
7.727,45.0255,3,3,5,5
7.727,45.088499999999996,12,3,5,5
7.641500000000001,45.0255,25,3,5,6
7.641500000000001,45.088499999999996,46,3,5,6
7.727,45.0255,3,3,5,6
7.727,45.088499999999996,23,3,5,6
7.641500000000001,45.0255,55,3,5,7
7.641500000000001,45.088499999999996,64,3,5,7
7.727,45.0255,7,3,5,7
7.727,45.088499999999996,37,3,5,7
7.641500000000001,45.0255,76,3,5,8
7.641500000000001,45.088499999999996,115,3,5,8
7.727,45.0255,15,3,5,8
7.727,45.088499999999996,74,3,5,8
7.641500000000001,45.0255,91,3,5,9
7.641500000000001,45.088499999999996,106,3,5,9
7.727,45.0255,17,3,5,9
7.727,45.088499999999996,52,3,5,9
7.641500000000001,45.0255,61,3,5,10
7.641500000000001,45.088499999999996,97,3,5,10
7.727,45.0255,4,3,5,10
7.727,45.088499999999996,44,3,5,10
7.641500000000001,45.0255,43,3,5,11
7.641500000000001,45.088499999999996,53,3,5,11
7.727,45.0255,7,3,5,11
7.727,45.088499999999996,37,3,5,11
7.641500000000001,45.0255,42,3,5,12
7.641500000000001,45.088499999999996,58,3,5,12
7.727,45.0255,8,3,5,12
7.727,45.088499999999996,34,3,5,12
7.641500000000001,45.0255,52,3,5,13
7.641500000000001,45.088499999999996,81,3,5,13
7.727,45.0255,10,3,5,13
7.727,45.088499999999996,41,3,5,13
7.641500000000001,45.0255,57,3,5,14
7.641500000000001,45.088499999999996,96,3,5,14
7.727,45.0255,6,3,5,14
7.727,45.088499999999996,48,3,5,14
7.641500000000001,45.0255,74,3,5,15
7.641500000000001,45.088499999999996,107,3,5,15
7.727,45.0255,11,3,5,15
7.727,45.088499999999996,50,3,5,15
7.641500000000001,45.0255,80,3,5,16
7.641500000000001,45.088499999999996,89,3,5,16
7.727,45.0255,16,3,5,16
7.727,45.088499999999996,28,3,5,16
7.641500000000001,45.0255,58,3,5,17
7.641500000000001,45.088499999999996,86,3,5,17
7.727,45.0255,12,3,5,17
7.727,45.088499999999996,48,3,5,17
7.641500000000001,45.0255,33,3,5,18
7.641500000000001,45.088499999999996,31,3,5,18
7.727,45.0255,8,3,5,18
7.727,45.088499999999996,28,3,5,18
7.641500000000001,45.0255,6,3,5,19
7.641500000000001,45.088499999999996,17,3,5,19
7.727,45.0255,2,3,5,19
7.727,45.088499999999996,8,3,5,19
7.641500000000001,45.0255,15,3,5,20
7.641500000000001,45.088499999999996,18,3,5,20
7.727,45.0255,1,3,5,20
7.727,45.088499999999996,15,3,5,20
7.641500000000001,45.0255,45,3,5,21
7.641500000000001,45.088499999999996,54,3,5,21
7.727,45.0255,7,3,5,21
7.727,45.088499999999996,19,3,5,21
7.641500000000001,45.0255,27,3,5,22
7.641500000000001,45.088499999999996,41,3,5,22
7.727,45.0255,1,3,5,22
7.727,45.088499999999996,25,3,5,22
7.641500000000001,45.0255,18,3,5,23
7.641500000000001,45.088499999999996,15,3,5,23
7.727,45.0255,2,3,5,23
7.727,45.088499999999996,15,3,5,23
7.641500000000001,45.0255,6,4,6,0
7.641500000000001,45.088499999999996,10,4,6,0
7.727,45.0255,3,4,6,0
7.727,45.088499999999996,10,4,6,0
7.641500000000001,45.0255,11,4,6,1
7.641500000000001,45.088499999999996,7,4,6,1
7.727,45.0255,2,4,6,1
7.727,45.088499999999996,15,4,6,1
7.641500000000001,45.0255,6,4,6,2
7.641500000000001,45.088499999999996,5,4,6,2
7.727,45.0255,1,4,6,2
7.727,45.088499999999996,5,4,6,2
7.641500000000001,45.0255,2,4,6,3
7.641500000000001,45.088499999999996,6,4,6,3
7.727,45.0255,1,4,6,3
7.727,45.088499999999996,3,4,6,3
7.641500000000001,45.0255,4,4,6,4
7.641500000000001,45.088499999999996,4,4,6,4
7.727,45.0255,1,4,6,4
7.727,45.088499999999996,6,4,6,4
7.641500000000001,45.0255,6,4,6,5
7.641500000000001,45.088499999999996,5,4,6,5
7.727,45.0255,1,4,6,5
7.727,45.088499999999996,8,4,6,5
7.641500000000001,45.0255,12,4,6,6
7.641500000000001,45.088499999999996,12,4,6,6
7.727,45.0255,2,4,6,6
7.727,45.088499999999996,13,4,6,6
7.641500000000001,45.0255,31,4,6,7
7.641500000000001,45.088499999999996,32,4,6,7
7.727,45.0255,3,4,6,7
7.727,45.088499999999996,25,4,6,7
7.641500000000001,45.0255,41,4,6,8
7.641500000000001,45.088499999999996,45,4,6,8
7.727,45.0255,12,4,6,8
7.727,45.088499999999996,25,4,6,8
7.641500000000001,45.0255,57,4,6,9
7.641500000000001,45.088499999999996,57,4,6,9
7.727,45.0255,13,4,6,9
7.727,45.088499999999996,30,4,6,9
7.641500000000001,45.0255,48,4,6,10
7.641500000000001,45.088499999999996,44,4,6,10
7.727,45.0255,4,4,6,10
7.727,45.088499999999996,31,4,6,10
7.641500000000001,45.0255,23,4,6,11
7.641500000000001,45.088499999999996,32,4,6,11
7.727,45.0255,2,4,6,11
7.727,45.088499999999996,15,4,6,11
7.641500000000001,45.0255,18,4,6,12
7.641500000000001,45.088499999999996,32,4,6,12
7.727,45.0255,4,4,6,12
7.727,45.088499999999996,22,4,6,12
7.641500000000001,45.0255,40,4,6,13
7.641500000000001,45.088499999999996,39,4,6,13
7.727,45.0255,2,4,6,13
7.727,45.088499999999996,21,4,6,13
7.641500000000001,45.0255,35,4,6,14
7.641500000000001,45.088499999999996,54,4,6,14
7.727,45.0255,9,4,6,14
7.727,45.088499999999996,45,4,6,14
7.641500000000001,45.0255,64,4,6,15
7.641500000000001,45.088499999999996,72,4,6,15
7.727,45.0255,12,4,6,15
7.727,45.088499999999996,38,4,6,15
7.641500000000001,45.0255,55,4,6,16
7.641500000000001,45.088499999999996,83,4,6,16
7.727,45.0255,14,4,6,16
7.727,45.088499999999996,40,4,6,16
7.641500000000001,45.0255,63,4,6,17
7.641500000000001,45.088499999999996,59,4,6,17
7.727,45.0255,7,4,6,17
7.727,45.088499999999996,35,4,6,17
7.641500000000001,45.0255,39,4,6,18
7.641500000000001,45.088499999999996,43,4,6,18
7.727,45.0255,2,4,6,18
7.727,45.088499999999996,31,4,6,18
7.641500000000001,45.0255,26,4,6,19
7.641500000000001,45.088499999999996,34,4,6,19
7.727,45.0255,2,4,6,19
7.727,45.088499999999996,14,4,6,19
7.641500000000001,45.0255,26,4,6,20
7.641500000000001,45.088499999999996,29,4,6,20
7.727,45.0255,4,4,6,20
7.727,45.088499999999996,17,4,6,20
7.641500000000001,45.0255,16,4,6,21
7.641500000000001,45.088499999999996,26,4,6,21
7.727,45.0255,3,4,6,21
7.727,45.088499999999996,20,4,6,21
7.641500000000001,45.0255,8,4,6,22
7.641500000000001,45.088499999999996,12,4,6,22
7.727,45.088499999999996,9,4,6,22
7.641500000000001,45.0255,3,4,6,23
7.641500000000001,45.088499999999996,3,4,6,23
7.727,45.088499999999996,6,4,6,23
7.641500000000001,45.0255,2,5,0,0
7.641500000000001,45.088499999999996,2,5,0,0
7.641500000000001,45.0255,2,5,0,1
7.641500000000001,45.088499999999996,1,5,0,1
7.641500000000001,45.0255,2,5,0,2
7.641500000000001,45.088499999999996,3,5,0,2
7.727,45.088499999999996,2,5,0,2
7.641500000000001,45.0255,8,5,0,3
7.641500000000001,45.088499999999996,6,5,0,3
7.727,45.0255,1,5,0,3
7.727,45.088499999999996,3,5,0,3
7.641500000000001,45.0255,13,5,0,4
7.641500000000001,45.088499999999996,8,5,0,4
7.727,45.0255,4,5,0,4
7.727,45.088499999999996,6,5,0,4
7.641500000000001,45.0255,66,5,0,5
7.641500000000001,45.088499999999996,66,5,0,5
7.727,45.0255,18,5,0,5
7.727,45.088499999999996,40,5,0,5
7.641500000000001,45.0255,120,5,0,6
7.641500000000001,45.088499999999996,126,5,0,6
7.727,45.0255,24,5,0,6
7.727,45.088499999999996,77,5,0,6
7.641500000000001,45.0255,94,5,0,7
7.641500000000001,45.088499999999996,91,5,0,7
7.727,45.0255,16,5,0,7
7.727,45.088499999999996,57,5,0,7
7.641500000000001,45.0255,100,5,0,8
7.641500000000001,45.088499999999996,94,5,0,8
7.727,45.0255,21,5,0,8
7.727,45.088499999999996,54,5,0,8
7.641500000000001,45.0255,96,5,0,9
7.641500000000001,45.088499999999996,113,5,0,9
7.727,45.0255,8,5,0,9
7.727,45.088499999999996,72,5,0,9
7.641500000000001,45.0255,103,5,0,10
7.641500000000001,45.088499999999996,100,5,0,10
7.727,45.0255,5,5,0,10
7.727,45.088499999999996,55,5,0,10
7.641500000000001,45.0255,75,5,0,11
7.641500000000001,45.088499999999996,100,5,0,11
7.727,45.0255,22,5,0,11
7.727,45.088499999999996,62,5,0,11
7.641500000000001,45.0255,80,5,0,12
7.641500000000001,45.088499999999996,97,5,0,12
7.727,45.0255,18,5,0,12
7.727,45.088499999999996,64,5,0,12
7.641500000000001,45.0255,99,5,0,13
7.641500000000001,45.088499999999996,102,5,0,13
7.727,45.0255,8,5,0,13
7.727,45.088499999999996,59,5,0,13
7.641500000000001,45.0255,101,5,0,14
7.641500000000001,45.088499999999996,153,5,0,14
7.727,45.0255,19,5,0,14
7.727,45.088499999999996,88,5,0,14
7.641500000000001,45.0255,120,5,0,15
7.641500000000001,45.088499999999996,136,5,0,15
7.727,45.0255,17,5,0,15
7.727,45.088499999999996,111,5,0,15
7.641500000000001,45.0255,158,5,0,16
7.641500000000001,45.088499999999996,179,5,0,16
7.727,45.0255,21,5,0,16
7.727,45.088499999999996,102,5,0,16
7.641500000000001,45.0255,120,5,0,17
7.641500000000001,45.088499999999996,160,5,0,17
7.727,45.0255,13,5,0,17
7.727,45.088499999999996,72,5,0,17
7.641500000000001,45.0255,50,5,0,18
7.641500000000001,45.088499999999996,61,5,0,18
7.727,45.0255,7,5,0,18
7.727,45.088499999999996,30,5,0,18
7.641500000000001,45.0255,26,5,0,19
7.641500000000001,45.088499999999996,45,5,0,19
7.727,45.0255,5,5,0,19
7.727,45.088499999999996,18,5,0,19
7.641500000000001,45.0255,22,5,0,20
7.641500000000001,45.088499999999996,27,5,0,20
7.727,45.0255,3,5,0,20
7.727,45.088499999999996,17,5,0,20
7.641500000000001,45.0255,17,5,0,21
7.641500000000001,45.088499999999996,24,5,0,21
7.727,45.0255,1,5,0,21
7.727,45.088499999999996,19,5,0,21
7.641500000000001,45.0255,11,5,0,22
7.641500000000001,45.088499999999996,10,5,0,22
7.727,45.0255,1,5,0,22
7.727,45.088499999999996,11,5,0,22
7.641500000000001,45.0255,3,5,0,23
7.641500000000001,45.088499999999996,2,5,0,23
7.727,45.088499999999996,3,5,0,23
7.641500000000001,45.0255,2,6,1,0
7.641500000000001,45.088499999999996,3,6,1,0
7.727,45.088499999999996,1,6,1,0
7.641500000000001,45.0255,4,6,1,1
7.641500000000001,45.088499999999996,4,6,1,1
7.727,45.0255,1,6,1,1
7.727,45.088499999999996,1,6,1,1
7.641500000000001,45.0255,2,6,1,2
7.641500000000001,45.088499999999996,1,6,1,2
7.727,45.088499999999996,1,6,1,2
7.641500000000001,45.0255,5,6,1,3
7.641500000000001,45.088499999999996,8,6,1,3
