lng,lat,pippo
7.676089,45.064861,7119
7.676202,45.066422,7590
7.674673,45.065334,311
7.676459,45.073704,1124
7.674384,45.073399,3579
7.676468,45.073406,1524
7.675853,45.073994,6860
7.675632,45.073658,3752
7.675585,45.07362,4337
7.674504,45.0741,156
7.675774,45.073898,4951
7.67632,45.073509,6414
7.675916,45.073921,293
7.677272,45.072605,1788
7.675625,45.073795,896
7.677149,45.073463,1015
7.676095,45.093323,625
7.674778,45.094833,1025
7.675523,45.094719,1365
7.67573,45.094669,7002
7.675916,45.092819,13546
7.676798,45.092705,1285
7.676062,45.093315,378
7.676106,45.092693,12497
7.676116,45.094032,1018
7.675865,45.093571,1342
7.67505,45.094929,2243
7.674813,45.093708,568
7.676543,45.095161,239
7.677068,45.096889,2531
7.677272,45.096668,1764
7.675906,45.097069,878
7.675556,45.09687,886
7.67741,45.096867,3767
7.676932,45.096581,28
7.676012,45.095348,34
7.675869,45.095268,2520
7.677193,45.095982,893
7.675017,45.096481,5035
7.676508,45.097134,1036
7.676807,45.097034,1078
7.676999,45.096943,12766
7.675364,45.101025,1164
7.676435,45.101223,2584
7.674397,45.101215,4077
7.677092,45.10112,4125
7.676223,45.100624,6591
7.674418,45.100857,2211
7.674496,45.101452,939
7.676044,45.102051,3448
7.676693,45.101238,3150
7.677511,45.101501,1299
7.677526,45.102551,651
7.674682,45.102413,106
7.67714,45.101768,856
7.675418,45.101543,972
7.675662,45.100773,763
7.674882,45.101482,1013
7.679888,45.05336,17699
7.678854,45.053364,688
7.679745,45.054707,194
7.679878,45.053589,3706
7.679342,45.053375,1757
7.680358,45.053417,4031
7.679494,45.052391,801
7.680005,45.054428,2652
7.678209,45.054424,803
7.679674,45.054699,3891
7.679261,45.052452,1594
7.678801,45.055012,856
7.679769,45.054886,4654
7.679473,45.056557,3779
7.679788,45.056305,508
7.680653,45.056637,743
7.678524,45.055798,2321
7.679499,45.055386,6633
7.68053,45.05537,8768
7.678347,45.056019,57
7.680658,45.055695,48
7.680433,45.056549,2994
7.680052,45.063637,91
7.678908,45.063629,142
7.679918,45.064037,422
7.680823,45.064678,2227
7.67987,45.063313,117
7.677596,45.064613,1017
7.677722,45.064758,8461
7.678656,45.064423,137
7.680259,45.063793,420
7.680579,45.063492,2945
7.679852,45.06321,33
7.680227,45.064064,310
7.678593,45.064247,7898
7.677947,45.062874,22
7.679307,45.062557,282
7.678308,45.064739,347
7.679089,45.063625,208
7.679547,45.094582,5386
7.678243,45.092617,3022
7.680692,45.095043,1666
7.678243,45.093559,1175
7.679895,45.093567,11070
7.678565,45.092674,116
7.678555,45.094444,3398
7.679691,45.0937,1584
7.67862,45.092907,1337
7.679619,45.093494,6907
7.678884,45.093452,2507
7.680339,45.094585,2678
7.680694,45.094761,5942
7.678208,45.094501,300
7.678193,45.094967,296
7.680426,45.095169,1172
7.678152,45.097359,5104
7.679242,45.097427,4437
7.680967,45.095116,5283
7.680555,45.096321,382
7.678943,45.096657,3575
7.678414,45.095917,238
7.677916,45.097027,1260
7.678259,45.09581,1360
7.678478,45.096024,1247
7.678386,45.095726,2672
7.678411,45.096279,5803
7.678405,45.095158,211
7.681003,45.097244,2209
7.677664,45.095737,196
7.677765,45.095673,243
7.684245,45.056789,1213
7.68172,45.056652,4294
7.682993,45.055077,243
7.68147,45.054756,3062
7.682805,45.055206,1346
7.684121,45.056759,5349
7.683141,45.055161,2041
7.683555,45.055309,3317
7.683252,45.05695,12808
7.684224,45.056404,6803
7.68227,45.056911,92
7.681227,45.055759,6824
7.681326,45.100185,182
7.682325,45.101948,206
7.682382,45.101574,22
7.681721,45.10117,3768
7.681501,45.101162,3430
7.682015,45.101543,3446
7.681137,45.100288,5677
7.682046,45.101315,910
7.683486,45.101364,295
7.682029,45.102619,1668
7.681835,45.100868,36
