lat,lng
45.024166,7.656231
45.03722,7.681283
45.021336,7.659405
45.021465,7.659667
45.021484,7.659642
45.056499,7.678675
45.056549,7.678755
45.034298,7.679972
45.074081,7.647854
45.059273,7.656887
45.059269,7.656919
45.075523,7.64251
45.075439,7.6425
45.074516,7.648317
45.046665,7.636569
45.04649,7.636713
45.093964,7.693181
45.107449,7.691141
45.10741,7.691129
45.093845,7.693118
45.123886,7.620101
45.066811,7.618435
45.06654,7.618497
45.001816,7.644021
45.001865,7.643821
44.999966,7.640349
45.098347,7.67328
45.039539,7.631086
45.062111,7.645085
45.058365,7.683163
45.058483,7.683154
45.117554,7.708581
45.092213,7.708847
45.055084,7.728517
45.090199,7.705795
45.093849,7.697383
45.093822,7.697416
45.095631,7.699856
45.095528,7.700389
45.096291,7.699044
45.042564,7.643262
45.042377,7.643113
45.065903,7.650491
45.02951,7.677979
45.029499,7.677962
45.057213,7.693133
45.057232,7.693014
45.051376,7.649256
45.051357,7.649282
45.066669,7.65226
45.064713,7.618394
45.065582,7.627133
45.065598,7.627215
45.062691,7.632701
45.062637,7.632599
45.064701,7.619141
45.01638,7.659755
45.011776,7.658385
45.011776,7.658428
45.014038,7.658068
45.01432,7.657887
45.010166,7.658269
45.010151,7.658328
45.02467,7.640647
45.024792,7.640701
45.050365,7.649228
45.050304,7.64919
45.061604,7.697996
45.061592,7.698007
45.047085,7.632442
45.059414,7.682454
45.049366,7.654825
45.049358,7.654929
45.002197,7.627943
45.036327,7.634866
45.005661,7.66117
45.00568,7.661162
45.036224,7.633796
45.07515,7.637691
45.033287,7.655869
45.033279,7.655818
45.034321,7.654162
45.034248,7.654125
45.076237,7.674278
45.000813,7.684788
45.106468,7.697011
45.060963,7.679028
45.06097,7.678901
45.061821,7.679335
45.061787,7.679403
45.054443,7.678811
45.054916,7.678944
45.05389,7.653162
45.05014,7.651602
45.050159,7.651598
45.063095,7.655188
45.09893,7.698569
45.06464,7.71117
45.064442,7.711314
45.073532,7.70591
45.073402,7.705887
45.07769,7.700143
45.077511,7.699918
45.077621,7.699767
45.077446,7.69978
45.075817,7.696319
45.074955,7.65229
45.075451,7.64242
45.075462,7.642428
45.071102,7.642189
45.07093,7.6428
45.081966,7.649198
45.081734,7.649302
45.072712,7.64224
45.04435,7.647329
45.081814,7.671348
45.075905,7.651125
45.070385,7.620419
45.0704,7.620428
45.076,7.651759
45.040382,7.679968
45.118904,7.654599
45.119232,7.655842
45.041027,7.628976
45.041027,7.628895
45.037876,7.633798
45.05756,7.613036
45.05759,7.612951
45.077927,7.732477
45.078323,7.649867
45.065941,7.631714
45.065948,7.631727
45.079517,7.638994
45.079521,7.63903
45.081768,7.652547
45.081829,7.65262
45.078274,7.649888
45.099918,7.737939
45.099987,7.737936
45.089977,7.692701
45.090168,7.69259
45.088505,7.691279
45.039261,7.640602
45.025627,7.638673
45.074154,7.697603
45.07428,7.697449
45.088749,7.648032
45.042583,7.654756
45.04253,7.654835
45.042789,7.66109
45.09948,7.730915
45.039665,7.644742
45.041893,7.639044
45.028461,7.677485
45.08881,7.650668
45.081715,7.651038
45.089821,7.68978
45.049831,7.681945
45.020649,7.676776
45.057682,7.677111
45.076653,7.697273
45.003052,7.716807
45.002579,7.719138
45.07243,7.69542
45.075748,7.629336
45.03244,7.674925
45.107838,7.746398
45.111172,7.745533
45.111187,7.745532
45.10854,7.750443
44.995956,7.656569
44.995899,7.656597
45.074833,7.659555
45.078022,7.662174
45.077946,7.662293
45.02422,7.66823
45.024235,7.668223
45.093197,7.71345
45.061302,7.681226
45.061333,7.681229
45.049999,7.682426
45.104004,7.726188
45.104034,7.726198
45.104141,7.725773
45.053936,7.682795
45.064495,7.639605
45.068401,7.756371
45.069004,7.755653
45.091949,7.663387
45.091965,7.663373
45.078049,7.67917
45.077911,7.679945
45.071888,7.692227
45.071728,7.692356
45.074863,7.702058
45.067696,7.670982
45.06776,7.670899
45.071697,7.692334
45.071716,7.692416
45.074795,7.724044
45.063549,7.680227
45.057785,7.671209
45.057796,7.671301
45.076031,7.671279
45.076077,7.671306
45.077908,7.670519
45.077644,7.670602
45.067108,7.709808
45.067104,7.709828
45.046776,7.672832
45.046871,7.672818
45.06337,7.682932
45.066715,7.649854
45.041561,7.676205
45.037601,7.675904
45.121166,7.650013
45.121109,7.649988
45.106674,7.69511
45.089226,7.65989
45.071621,7.660604
45.119881,7.644145
45.119923,7.644155
45.071815,7.62008
45.056267,7.615258
45.095161,7.659541
45.095142,7.659469
45.094921,7.65217
45.075226,7.64923
45.075531,7.649355
45.070999,7.649937
45.070992,7.649931
45.061569,7.683315
45.072094,7.653553
45.072014,7.653402
45.061481,7.683303
45.029171,7.666789
45.060665,7.701259
45.060638,7.701407
45.019119,7.653875
45.105309,7.695477
45.099354,7.69393
45.031372,7.725021
45.031345,7.725066
45.052513,7.689551
45.052505,7.689559
45.090343,7.643635
45.090378,7.64358
45.088696,7.646648
45.088684,7.64664
45.081394,7.625011
45.038258,7.637131
45.031696,7.666846
45.031673,7.666855
45.039452,7.639684
45.084705,7.689266
45.108288,7.760198
45.097282,7.720661
45.09729,7.720719
45.10112,7.699242
45.101147,7.699227
45.060413,7.699158
45.060406,7.699245
45.071678,7.707249
