lng,lat,pippo
7.640861,45.065548,4964
7.640992,45.066959,2196
7.642154,45.065689,684
7.640181,45.077919,2868
7.641686,45.077614,4897
7.642313,45.079937,7977
7.642372,45.079884,2714
7.64164,45.077793,1206
7.640256,45.079704,155
7.642053,45.078781,2458
7.641952,45.078171,204
7.641788,45.07811,2485
7.640165,45.077919,784
7.641084,45.079868,212
7.640073,45.078693,19820
7.641167,45.079887,7130
7.644718,45.035122,661
7.645748,45.035488,6411
7.646663,45.035007,9015
7.64536,45.036686,745
7.644484,45.034954,2692
7.645679,45.036869,236
7.645529,45.035961,329
7.646271,45.034718,748
7.646747,45.035,882
7.643642,45.035503,791
7.645285,45.036388,1002
7.646132,45.035973,674
7.643644,45.036022,645
7.646031,45.03841,214
7.643918,45.039139,600
7.645765,45.03812,721
7.645288,45.038792,794
7.645319,45.039547,279
7.644275,45.037727,17984
7.645071,45.03915,4990
7.646463,45.037155,166
7.646292,45.03907,354
7.644937,45.037643,728
7.644214,45.037598,872
7.645522,45.039459,853
7.643856,45.038902,872
7.646118,45.037479,443
7.644925,45.038086,2428
7.645771,45.038059,417
7.644827,45.037643,6883
7.643684,45.037151,31826
7.645592,45.039085,329
7.643565,45.037258,19300
7.646405,45.040085,549
7.644335,45.040245,1269
7.643765,45.040432,1443
7.64548,45.041496,2743
7.646566,45.040985,2813
7.64458,45.039677,13265
7.645604,45.041794,5730
7.646783,45.041351,792
7.644217,45.040688,478
7.644876,45.040276,335
7.64361,45.041889,1343
7.645258,45.04113,511
7.643615,45.042049,2546
7.646596,45.041355,1388
7.646708,45.039597,873
7.646541,45.039974,225
7.645399,45.040192,912
7.645944,45.040348,1400
7.646551,45.044563,201
7.646302,45.044079,735
7.646778,45.044102,3715
7.643917,45.042961,14829
7.646693,45.042744,2498
7.645704,45.042664,241
7.646553,45.042847,211
7.644472,45.043739,191
7.644174,45.043678,196
7.644866,45.043831,134
7.643719,45.04287,797
7.646788,45.042454,835
7.643515,45.044266,9575
7.645762,45.044037,418
7.64378,45.042793,26835
7.645001,45.04353,2326
7.644647,45.043118,1032
7.644471,45.043568,2380
7.646066,45.04538,361
7.643767,45.045109,254
7.645872,45.044842,75
7.645068,45.045357,249
7.645053,45.045681,3407
7.645561,45.045048,856
7.643832,45.045624,246
7.645266,45.046776,11249
7.64451,45.046169,1406
7.644222,45.044643,2363
7.646749,45.045799,335
7.645019,45.045395,337
7.645166,45.046791,1134
7.64533,45.045063,286
7.64362,45.047695,273
7.644455,45.049549,4934
7.645857,45.048862,648
7.643988,45.047905,2190
7.6443,45.048092,5837
7.645649,45.049168,638
7.643826,45.048717,780
7.645455,45.048923,820
7.645395,45.048347,196
7.644926,45.04837,5761
7.644185,45.048153,2093
7.644711,45.049084,763
7.646202,45.056988,18669
7.64411,45.054977,855
7.6441,45.054951,846
7.646555,45.056511,692
7.643725,45.056324,4191
7.64469,45.054768,731
7.646122,45.057072,1036
7.644915,45.056564,953
7.644173,45.054996,798
7.64396,45.05666,783
7.646496,45.057041,11198
7.644761,45.056953,703
7.645225,45.06274,896
7.644986,45.064129,752
7.643693,45.063305,907
7.646417,45.062916,7262
7.644935,45.063595,910
7.645035,45.064629,5542
7.643738,45.063004,1089
7.646459,45.0639,21559
7.645006,45.06229,2203
7.645697,45.06287,66
7.645199,45.063251,1772
7.644984,45.063396,733
7.64482,45.072411,880
7.645902,45.072769,627
7.646544,45.073856,8000
7.643508,45.073288,892
7.644855,45.074028,21046
7.643834,45.074142,281
7.645643,45.074184,6922
7.643724,45.073853,6890
7.645474,45.074604,805
7.643883,45.073662,758
7.644701,45.074142,692
7.646253,45.075855,1564
7.646857,45.076389,2738
7.643792,45.075058,778
7.644595,45.074982,2851
7.645138,45.074989,13289
7.643732,45.076782,1280
